CAL51,CAL120,BT549
MID1,LINC00092,FXR1
TMSB4X,PSD2,CARM1
FAM9C,AADAT,PHF1
CA5BP1,GPR88,PLEKHG3
ZRSR2,DGKG,NRXN1
S100G,HCRTR1,EIF4A1
SCML1,SLC1A2,SNORA48
PHKA2,DOCK8,LINC00857
MAP3K15,LRG_196,KCNF1
SH3KBP1,NPNT,RALGAPA2
MAP7D2,MIR3186,ATOX1
EIF1AX,POU2F3,PER3
RPS6KA3,SIGLEC1,TBPL2
PRDX4,CD14,SCAMP5
ACOT9,TUBB2B,AP3S2
SAT1,MAL,RPL39
ZFX-AS1,SYPL2,RNF182
MAGEB10,ARL1,LIG4
MAGEB3,BSPRY,LRG_79
MAGEB1,GATA5,PKP1
GK,LHFPL3,HSPA12A
TMEM47,CAMK2N1,WDR7
MAGEB16,DCHS2,MTMR12
FAM47C,SLC25A45,ITPRIPL1
CXorf27,GPX3,GPR97
MID1IP1,KRTAP9-1,MIR3193
BCOR,ADAMTS15,HPN-AS1
ATP6AP2,FOXP1,RALB
CXorf38,FLNC,AZIN1
MAOA,DIXDC1,CDKN1B
FUNDC1,NTN1,MRPS6
ZNF674-AS1,PODNL1,PDZD9
SLC9A7,MDK,PIGZ
UBA1,CDH8,PRICKLE1
CDK16,GADD45G,TCF23
ZNF182,POU4F2,CHST10
ZNF630,GPR35,PRKAR2A
SSX6,EFCAB4A,GNB3
SPACA5B,ITIH5,ZNF805
SPACA5,MCM3AP,TBC1D13
SLC38A5,SYT6,UQCRC1
PORCN,GPR6,MIR4526
EBP,CASKIN1,KREMEN2
WDR13,LINC01016,MIR4306
GLOD5,ZNF750,ZNF775
GATA1,OTOP3,C17orf104
HDAC6,BMP6,PRKACA
PQBP1,GPR158,FNDC4
SLC35A2,LINC00606,NPIPA7
KCND1,KISS1R,PKD1P6
GRIPAP1,TLE3,NUDT2
CCDC120,EPN1,NFATC4
WDR45,SHANK2,EPM2AIP1
GPKOW,PEPD,NFIX
FOXP3,LCNL1,SEMA4D
LRG_62,CLCNKB,ANG
PPP1R3F,TP53INP2,COQ6
GAGE10,YJEFN3,ARHGAP9
PAGE1,KRTAP5-AS1,TUBGCP6
CCNB3,ESAM,FMR1NB
MAGED1,EGR2,CCNT2-AS1
XAGE3,LRG_239,RIC8B
KDM5C,TFAP2B,RTDR1
IQSEC2,CDH5,PHKA2
HSD17B10,FTCD,ARGLU1
LRG_450,TSPAN2,KHDC1L
PHF8,GAA,HTR3D
TSR2,PKP1,CALN1
MAGED2,MASP2,B4GALT3
SNORA11,ALPI,PABPC1
TRO,PROSER2-AS1,SLC25A1
APEX2,KCNQ1DN,TPSB2
FAM104B,DPEP3,ANKHD1
PAGE5,HBM,ANKHD1-EIF4EBP3
MAGEH1,COX6B2,CLINT1
USP51,NNMT,NCKIPSD
RRAGB,SSTR2,TMEM50B
KLF8,KRTAP10-4,LHFP
ARHGEF9,POU2AF1,BHLHB9
YIPF6,MIR124-3,PWWP2B
STARD8,NSG1,UBN1
OTUD6A,VWA5B1,KLHL29
P2RY4,VENTX,FAM120B
GDPD2,GJB3,SPG21
MED12,TOLLIP,LGI4
NLGN3,ARHGEF25,MT4
GJB1,MIR133A2,PHF5A
LRG_245,VAV2,OMA1
ZMYM3,EXD3,TEP1
TAF1,MIR615,INTS8
INGX,HPCAL4,ZNF567
OGT,SLC22A17,HGFAC
RGAG4,SCGB3A1,ANO10
PIN4,TNNI3,SULT1A2
ERCC6L,SLC26A11,BRK1
RPS4X,SLIT3,PDF
PHKA1,PHOSPHO1,KCNE3
DMRTC1,TMEM235,LRG_439
DMRTC1B,KCNG1,VCL
CDX4,TDRD5,LRG_383
MAP2K4P1,PTGER3,THOC2
ZCCHC13,SOWAHA,SSPN
SLC16A2,CALY,LRG_209
MAGT1,XRCC6BP1,RP11-318M2.2
LRG_353,HOXB13,MED18
COX7B,GPR150,HIATL1
PGAM4,KNDC1,RPL39L
ITM2A,NFIX,CASP6
BRWD3,COMP,AGBL2
DACH2,PGM2L1,FOXS1
TGIF2LX,SLCO5A1,PTP4A2
PCDH11Y,AVPR1B,NOG
PCDH11X,GNAT1,TRPM5
XRCC6P5,H2AFY2,KMT2D
SYTL4,AGMAT,PPP1R3C
CSTF2,HELZ2,RELT
XKRX,AK5,MPHOSPH6
ARMCX1,FAM182A,ORAI3
ARMCX6,PPAPDC1B,MPRIP
ARMCX3,GBP5,C1orf185
ARMCX2,SLC13A3,KRT8
TCEAL2,MYO15B,KRT8P3
TCEAL6,SCUBE2,WLS
BEX5,LHFPL4,GNAZ
RAB40AL,ALOX5,TMEM219
BEX4,FGFRL1,PCTP
TCEAL8,PYCR2,RTKN2
TCEAL5,NKD2,UAP1L1
NGFRAP1,FBXO41,MOB3A
TCEAL4,LOC440461,ZNF818P
TMEM31,LCN6,RAB25
NUP62CL,NRTN,HIVEP1
MID2,ARHGAP30,FAM173A
TEX13B,PDE4B,COX5A
ATG4A,KRTAP10-10,SPATC1L
COL4A5,ACP5,RAD51-AS1
IRS4,JAG2,CELF4
PAK3,PTHLH,TPRG1
HTR2C,SIX3,KIN
PLS3,BICC1,CYB5R2
CT83,GFI1,SUCLG1
WDR44,LRG_63,EXD1
IL13RA1,TF,U2AF2
6-Sep,RNH1,ZIC2
UPF3B,HOXC9,ABHD14A-ACY1
RNF113A,MAMDC2,ACY1
RHOXF2B,RIMKLA,C9orf91
NKAPP1,MAEA,GPR146
LAMP2,LEPR,ZBTB33
C1GALT1C1,LRG_283,ZFP28
THOC2,AC097468.4,NUDT10
STAG2,LURAP1,SLBP
SASH3,EGR1,CTD-3193O13.10
UTP14A,HYAL1,WDR1
BCORL1,APOA1,CPEB3
RAB33A,CYP1B1,TNFSF14
SLC25A14,TPSG1,ZNF799
ARHGAP36,KCNE4,C11orf70
CCDC160,CCDC79,EIF2B5
MIR503,PRLR,PCBP3
LINC00629,SOX2,ATP11A
FAM122C,GRID1,CELA2A
FAM127B,LRP4,YTHDC1
CT55,CXXC11,ULK4
CT45A3,BCL2L11,CORO1A
CT45A1,KREMEN2,LRG_195
SAGE1,PRPH,FGF22
RBMX,C7orf57,FAM8A1
GPR101,SEMA4C,OTUD6A
SPANXC,9-Mar,TOM1
MAGEC3,CBX4,WDR6
MAGEC1,EMILIN2,BCKDHB
MAGEC2,PLVAP,PPP4R1
FMR1,PLIN5,HSF4
FMR1NB,PTH2,MIR621
MAMLD1,FOXI1,GSTO1
MTM1,CCDC3,PHF2
MTMR1,SLC6A7,NEU3
MAGEA4,HCG4,PSMB11
CSAG4,PAX9,GPR132
ZNF185,MSRB3,IRF2BP2
MAGEA1,FAM181B,PSMD4
HAUS7,GPRC5B,RNF138
ATP2B3,DRGX,NIN
PNCK,MIR4456,REXO1
PLXNB3,MIR4260,MIR1909
IDH3G,NAALADL1,CCDC116
SSR4,LHX8,VPS26B
PDZD4,LRRC10,ZDHHC1
AVPR2,ZNF622,TPBG
ARHGAP4,DIO3OS,PSMA7
NAA10,SOX8,TAPBP
MIR3202-1,UNC93B1,LRG_114
MIR3202-2,LRG_123,TPM2
MIR718,WDFY4,ATF1
TKTL1,KCNK13,TTLL13
RPL10,SOX14,ASPDH
GDI1,MIR9-1,NAGPA
PLXNA3,C2orf54,CDKN2A
UBL4A,UNC5B-AS1,LRG_11
IKBKG,PVRL1,OSGIN1
LRG_70,PALM,COTL1
CTAG2,FBXL21,SEMA3F
F8,EHMT2,EYA3
,SIX6,INPP5E
,AATK-AS1,DOK4
,KLHL21,LINC00886
,PCSK5,RUNDC3A
,MED16,ZNF281
,KIAA1324L,ULK3
,E2F8,PIGW
,NOTUM,ZSCAN22
,METTL21B,ZNF575
,HNF1B,PLEKHG6
,IRF8,BMP2
,LRG_294,ADPRHL1
,FOXF1,PHF13
,DMRTA2,SFN
,SFMBT2,CELF1
,UCKL1,UFL1
,POLB,AKAP10
,GCGR,CLUH
,TMEM200B,ZNF470
,PYCR1,BRD4
,KCNQ2,XRCC3
,LRRC71,ARL6IP4
,NRN1,RARRES2
,DLGAP3,ARL6IP6
,VSTM2A,AKT2
,CAMK2G,ZNF205-AS1
,EBF2,ATG4D
,MIR3621,ZNF541
,KCNA2,GIGYF1
,DEF8,HEXA-AS1
,EIF4EBP1,LYPLA1
,DAW1,COIL
,EIF4E3,MIR1262
,TSFM,ZCCHC2
,CHST2,RASA1
,DOK7,BHLHE40-AS1
,SPON2,PLVAP
,ARHGAP20,FAM196A
,KRTAP12-2,RELB
,EXOC3L4,PLAU
,SLC25A48,DPP7
,NKX6-2,ALX3
,PPP1R36,RPS6KA4
,FAM229A,LPAR6
,ZDHHC11,CBS
,PDE3A,SLC30A4
,NTSR2,EIF3D
,TMEM105,PPP2R5B
,FAM3B,NEK3
,RASGRP2,SDC4
,LRG_100,USP48
,WNT7A,LINC00319
,RP11-461O7.1,EMC3
,ENPP7,MAGEE1
,CARM1,DVL3
,C2orf70,MRPS23
,TMTC1,RGS2
,SNTA1,RBM38
,LRG_332,MIR4669
,FAM89A,SPRYD3
,ZFYVE28,ZMPSTE24
,AGAP5,LRG_212
,ZNF582,TMEM67
,GAK,EPS15L1
,MED12L,INPP5D
,ZNF608,RPL23AP82
,PRSS50,HYI
,CRIP1,ANO8
,MFSD10,SH2D5
,FAM25A,RPAIN
,FAM25C,SYTL2
,FAM25B,MAPKAPK2
,FAM25G,MACROD1
,RNF157,ARHGEF26
,MX1,MIR3921
,GNAL,C15orf52
,HOXC13-AS,PGAM5
,KANK3,MTPAP
,CRHBP,SRCIN1
,METRNL,DDX39A
,KRT72,CEP41
,RP11-611O2.2,FBXW9
,MIR1-1,PDSS1
,ZBTB46,KLF16
,GALR2,FRMPD1
,ECE2,LIME1
,AC027612.6,RP4-583P15.15
,RP11-14N7.2,VRK1
,LINC00925,KCNMA1
,LCK,SEC16A
,SLC35G2,TSR3
,PRKG1,TBC1D23
,SDCBP2,JUN
,FSTL3,OTUB2
,LETM1,ANKRD29
,MAL2,GAL3ST1
,RP11-286H14.4,CPD
,HAAO,SOX10
,CD2BP2,LRG_271
,SLC9A2,CMTM4
,EBF1,LIPH
,ENTPD2,APOBEC3C
,ADAMTS14,MIR4492
,C17orf70,FAM132A
,ZNF785,COG3
,DRD4,SNORD115-1
,ZNF48,NAP1L5
,SLC16A6,FRMD1
,ACRBP,ZNF592
,TCF24,RBMX2
,AQP12A,SRPK2
,TRIM15,CDC25A
,RXFP3,NCAN
,MFI2,RHBDD3
,TTLL6,LYST
,SLC38A10,ZDHHC20
,C19orf80,RCAN3
,CACNA1H,SPICE1
,RAI14,SENP5
,TMEM45B,FER
,SLC6A19,MAP2K2
,FOXD4L1,PPP1R2P9
,RP11-46C24.3,SLC12A4
,MMP25,TTC30B
,OXCT1,ABCD4
,MIR486,IRF2BP1
,RANBP3,FZD8
,LINC01018,HMHA1
,DGKQ,PLEC
,SPHK1,TNFRSF19
,USH1G,POLG
,COL24A1,LRP5
,ADCYAP1,SKIDA1
,ANKRD30A,MIR3664
,CPT1C,MRPL4
,PCDHGA12,COA7
,MYOD1,SULT4A1
,PRODH2,PICK1
,TSPAN4,PA2G4
,NTSR1,MICALL2
,TEAD2,PARK2
,PRKCQ,TTC21B
,TMEM86B,TXLNG
,ST8SIA1,SNRNP40
,ABCC8,STPG1
,PDCD1,RP11-95P2.1
,RTN4RL2,RC3H1
,KRTAP10-1,GCH1
,CPLX1,B4GALT5
,BHLHE23,PDE1A
,LPAR2,HDGF
,WFDC2,URB1
,PRR23C,THAP6
,MIR4281,CRYGD
,POMK,IP6K1
,TMC5,HPDL
,HRASLS5,ST8SIA3
,C20orf166,C2CD5
,PTF1A,FADS3
,NBPF10,ATP6AP2
,AC239811.2,ZFHX2
,TP73,1-Mar
,CXCL14,CRTAP
,HID1,LRG_4
,PTPRO,ACTR3B
,RPTOR,TOMM40
,CXCL12,FAM109A
,NHSL2,MYLK3
,NRIP3,PERP
,RIMS4,INTS5
,CD151,TEX11
,MIR1224,SAFB2
,ABHD16B,ATP1A2
,RP11-434C1.1,LRG_6
,CABP2,CCDC144A
,ANO9,NTRK3
,ANKRD34B,PTPN12
,CPA1,MIR4297
,INSM1,RRP7A
,PTPRCAP,MAVS
,PCDH15,MIR589
,ABCC9,OIT3
,LRG_377,ESRP2
,SNX32,HERC4
,ANO5,NKX6-1
,ITGA2,CTD-2313N18.5
,PROSC,AHCTF1
,EEF1A2,AUH
,KIAA1462,LRG_449
,PABPN1L,RAC3
,MIR5008,FOSB
,CD40,CHCHD6
,LRG_40,MTX3
,SRMS,DCLK2
,GNAS-AS1,ZIC5
,RGPD5,FIGN
,RGPD8,NUP210L
,MIR3196,BAIAP2L1
,GNAS,RIN2
,DOC2A,ATP6V1C1
,APCDD1,MATN3
,TNFRSF11B,OGG1
,IQGAP2,ANKS3
,CNIH3,TFB2M
,DTX3,FAM172BP
,KCNC4,PRKCE
,FGF6,SLC22A11
,DUS1L,SLC2A4RG
,DYDC1,FAM131A
,SPOCK2,THPO
,PRDM14,JUND
,LRRC3,IPCEF1
,RBP3,STK25
,LSP1P3,ZNF804A
,KCNC1,HERC3
,PDE6G,MORF4L1
,FGFR3,ALDH3A2
,MIR1226,MED31
,HOXC12,MIR328
,TNNI2,ESD
,TUBB8,GEMIN5
,FAM20A,TAF3
,CYP24A1,GYG2
,BSX,C7orf26
,CLIC5,HELZ2
,TRIM47,RFX7
,LINC00304,RBM24
,KBTBD12,FBXW2
,CYP27B1,LASP1
,SPO11,FANCA
,FCGRT,LRG_495
,EDARADD,COA1
,TWSG1,PTCHD3
,CAMKV,HTR5A
,COL6A1,CAMKK1
,LRG_475,KRIT1
,HTRA4,PPP1R3E
,MC5R,CREM
,DUSP26,PCGF2
,ROPN1L-AS1,ACOT12
,PFN3,VDAC2
,WIF1,ZMYM6NB
,CACNA1C-AS1,SCUBE2
,HAR1B,MIR4482-1
,MAFG,LMF1
,KRTAP10-5,RP11-161M6.2
,ALX3,GGA2
,ADRA2C,GFOD1
,NODAL,NUPL1
,TP53I11,CEP112
,KCNE3,BABAM1
,LRG_439,CACNA1A
,PTGIS,LRG_7
,CNOT2,APMAP
,OTOP1,TYW1
,PRMT1,CNBP
,ADRB3,NUP37
,GPRIN2,PRR12
,TBC1D10B,PVRL3
,CROCCP2,PIGF
,NPTX1,TPX2
,KIF5A,STX4
,LINC00482,HNRNPDL
,FSCN2,HIVEP2
,IKBKB,HDGFRP3
,PDE4DIP,NSL1
,GPR124,HES1
,KY,RAI1
,MIR338,DOK7
,PTPRB,MYO19
,KCNMB4,UBE2L6
,DCTN2,EEA1
,SLC26A10,HKR1
,,FAM13A
,,KHDRBS1
,,VAMP2
,,LSP1
,,NAA16
,,MRPS31P5
,,KCNC1
,,C6orf57
,,APOH
,,C11orf83
,,RRP1
,,RABL2B
,,TKT
,,INGX
,,ST6GALNAC6
,,GSDMC
,,NKPD1
,,FANCC
,,LRG_497
,,PSMB6
,,SACM1L
,,SDHC
,,LRG_317
,,GRIK5
,,LARP4B
,,TBL1XR1
,,GTF2F1
,,BASP1
,,SYDE2
,,FAM65A
,,B4GALNT4
,,HSPBAP1
,,KCNMB4
,,CTDP1
,,LRG_236
,,SCNN1A
,,LOXL2
,,TDRKH
,,PYROXD2
,,IGFBP1
,,NT5DC1
,,ZZEF1
,,RANBP3
,,HIPK2
,,GTPBP4
,,ZNF461
,,HAUS6
,,PGBD2
,,ZNF860
,,USP4
,,MYO3A
,,ATG7
,,CHPF2
,,SPTLC1
,,LRG_272
,,USB1
,,LRG_352
,,ZC4H2
,,COMT
,,PLK2
,,HNRNPC
,,ITGA5
,,TFDP1
,,KCNQ5-AS1
,,CTC-228N24.3
,,CTA-221G9.11
,,CIC
,,CCDC88B
,,MRPS26
,,SURF4
,,SIN3B
,,NCOR1P1
,,PEX7
,,CTPS1
,,PRNP
,,SLC46A3
,,TMEM19
,,EPHB4
,,NID1
,,MAP3K6
,,TRMT10C
,,LONRF2
,,ANO7
,,C9orf43
,,FGD5
,,SEC63
,,ZNF621
,,WRB
,,KLHL25
,,KIFC3
,,HOXB1
,,MOV10
,,TCF20
,,VPS13A
,,A4GALT
,,PCBD1
,,ADAT1
,,EHMT2
,,GNAI2
,,LTBR
,,ALCAM
,,NDUFB7
,,C4BPA
,,GSN
,,SHANK2
,,TFEB
,,PHACTR2
,,ZFP36L1
,,SRSF10
,,EGFLAM
,,ZFP3
,,PAF1
,,MALL
,,SLC2A1-AS1
,,ARL5C
,,RP11-346I3.4
,,MIR3677
,,CTNNB1
,,ZMIZ1
,,XPC
,,LRG_472
,,VPS33B
,,NEU4
,,UBXN1
,,MIR4690
,,TPO
,,IFIT3
,,TRAM1L1
,,TTC40
,,POT1
,,RASAL3
,,ZHX1-C8ORF76
,,SPATA7
,,DPH7
,,EPG5
,,POC5
,,CTRL
,,CASKIN2
,,WDR96
,,SCYL2
,,PTGR1
,,SNORD115-25
,,ZSWIM8
,,TMC1
,,ICA1L
,,CLP1
,,EVPL
,,RBM20
,,LRG_382
,,WDFY3
,,KDM6B
,,GDPD1
,,MIR1272
,,NOD2
,,LRG_177
,,PTER
,,C10orf82
,,SERTAD2
,,CTAGE7P
,,MON1B
,,DEFA6
,,MAN2B1
,,GPR78
,,AGRP
,,EZR
,,KLK5
,,DEPDC7
,,KLHL41
,,RAB2A
,,VANGL1
,,LAMB1
,,IFT27
,,KLHL17
,,SLC27A4
,,C9orf3
,,SNX4
,,VNN2
,,MIR337
,,PRCD
,,NSUN6
,,EVI5L
,,RAB11FIP1
,,RP11-69E11.4
,,HOMER2
,,COG7
,,TMEM105
,,RAB17
,,THEM4
,,HNRNPAB
,,LRRFIP1
,,DNMT1
,,LRG_362
,,SPSB1
,,PTCHD3P1
,,HN1
,,PCSK1
,,C11orf85
,,DHRS4L2
,,VTI1B
,,DENND1A
,,RANBP9
,,ZNF555
,,C11orf35
,,CAPN11
,,KB-1047C11.1
,,DPY19L2
,,KHSRP
,,STT3A
,,ADAMTSL4
,,POR
,,MUS81
,,SMPDL3B
,,CEP164
,,IFT140
,,TGFBR2
,,MIR605
,,MIR761
,,CTBP1-AS2
,,IRAK1BP1
,,PFKFB4
,,FAT1
,,WDR91
,,ZYG11B
,,STAT5A
,,A1BG
,,RGPD5
,,RGPD8
,,EVA1B
,,MIR338
,,COL5A1
,,THAP4
,,RREB1
,,UBTF
,,ECI2
,,SLC51A
,,CDK1
,,PCYOX1
,,TAF15
,,AC016747.3
,,DPH3
,,MYL5
,,CSN2
,,JOSD2
,,FAM227A
,,RLTPR
,,IDH3B
,,RXRB
,,ZEB1
,,AC007365.1
,,PKD2
,,MYO1G
,,HIP1R
,,NKX6-2
,,C17orf70
,,KPNA3
,,RAPH1
,,AKNAD1
,,TNKS1BP1
,,GSTM2P1
,,TAP2
,,HHAT
,,SELPLG
,,GALK1
,,FAM110B
,,NLRC3
,,ZNF716
,,DERL3
,,MIR3176
,,NFATC3
,,ARPC2
,,TAB2
,,DCAF5
,,SORBS1
,,C9orf172
,,BRD3
,,ZNF107
,,MIER2
,,USP51
,,POLD1
,,NARFL
,,SEC24D
,,RGPD3
,,RGPD6
,,PPP2R5A
,,ACTRT3
,,FAAH
,,C5orf22
,,GAPDH
,,CRYBA1
,,PABPN1L
,,AIDA
,,TMEM150A
,,PSEN1
,,LAIR2
,,KCNMB3
,,CACHD1
,,AMFR
,,MYADML
,,ZNF3
,,TIGD5
,,KIAA0408
,,SOGA3
,,PSD
,,NAV1
,,CCL26
,,RHOT2
,,CCDC62
,,TOMM20L
,,RNF220
,,TBPL1
,,DCP2
,,NKAPP1
,,SERPINB6
,,HINT3
,,SOX4
,,TRPM4
,,PIP5K1C
,,CHTOP
,,WWOX
,,UPB1
,,ATP13A4
,,ARHGAP4
,,TAF1L
,,CCDC19
,,RNF40
,,SMIM3
,,ELOVL7
,,U2SURP
,,ENGASE
,,PRMT6
,,SETD1B
,,STK11IP
,,TAF4
,,PPP2R5C
,,MIR4758
,,RNF212
,,TEX101
,,MIR519B
,,POLE2
,,KBTBD2
,,COLGALT2
,,GPATCH3
,,COQ5
,,SMG7-AS1
,,MIR1914
,,FRZB
,,MIR4695
,,SORBS3
,,ACPL2
,,GPRIN1
,,SUSD2
,,G2E3
,,SPPL2A
,,PEX11A
,,INF2
,,IMP4
,,PRKAR1B
,,KRTAP17-1
,,TOM1L2
,,MTHFR
,,PLA2G3
,,KBTBD13
,,ADRB1
,,TDRD12
,,GSPT1
,,CDC37L1
,,METTL21A
,,JMY
,,RNF111
,,STMN4
,,TMEM47
,,RFX4
,,ARRDC2
,,ZNF469
,,IFNGR1
,,LRG_66
,,SLC44A2
,,STAG3L3
,,PDXDC2P
,,PID1
,,PGS1
,,HP1BP3
,,FAM98B
,,FKBP9L
,,TRPM6
,,SNORD66
,,ALKBH4
,,HDAC7
,,SNORD71
,,FRAT1
,,C6orf203
,,SLC11A1
,,IQGAP3
,,GPC2
,,PDPR
,,MALT1
,,APLF
,,S1PR5
,,TRABD
,,ALDH2
,,VPS18
,,SLC35C1
,,LRG_107
,,ELOVL5
,,SCRN2
,,ANXA6
,,C14orf80
,,DMRTB1
,,KLHL40
,,BNIP3
,,FBXO18
,,GGT5
,,LMO1
,,SPATS2L
,,LPAR2
,,CBX6
,,ZNF492
,,YBX3P1
,,MTA1
,,RABAC1
,,MFSD6
,,VTRNA1-3
,,MPG
,,DNASE1
,,MIR4462
,,SDF4
,,TIMM13
,,ZNF425
,,MRC2
,,ZNF619
,,U2AF1
,,CGREF1
,,PACSIN3
,,CTHRC1
,,TP53TG3
,,TP53TG3D
,,TP53TG3C
,,TP53TG3B
,,XAGE3
,,PDCD1
,,IL16
,,MAGEB10
,,MIR4274
,,GDAP1
,,TRIM33
,,ORC2
,,NOS1
,,WDR18
,,MT1G
,,TBXA2R
,,C7orf43
,,FPR2
,,PAM
,,TSPAN3
,,UBL3
,,FAM166A
,,TRNT1
,,LYPD5
,,MAB21L2
,,FAM90A2P
,,PTGS1
,,CRMP1
,,LINC00535
,,RASD2
,,WDR48
,,CPAMD8
,,DLG1
,,CCDC84
,,PRKACG
,,LMAN1L
,,MCM2
,,PNMAL2
,,RAB3B
,,NKX3-2
,,SKP1
,,TIMM44
,,TMEM179B
,,B4GALNT2
,,IGSF9B
,,HS3ST1
,,NSUN5
,,CTC-523E23.4
,,FITM2
,,HDAC4
,,CCDC137
,,AMN
,,SNORD115-40
,,SERPINB8
,,SHCBP1L
,,KIAA1671
,,SLC9A3R2
,,RAET1E-AS1
,,RP11-244K5.8
,,USP43
,,PILRB
,,SERHL2
,,FAM89B
,,RD3L
,,NUDT14
,,NR2C1
,,NT5DC2
,,SGPL1
,,PTPN23
,,RGS22
,,CES4A
,,UBA2
,,AXIN2
,,LRG_296
,,USP54
,,PRSS48
,,GUK1
,,PI4KB
,,SGK2
,,MFN1
,,FAM69B
,,PRKAG1
,,FAM43A
,,ASB6
,,LINC01137
,,NEAT1
,,MIR3944
,,ENKD1
,,FANCI
,,LRG_500
,,IQCJ-SCHIP1
,,MFNG
,,CTGF
,,C2CD4A
,,RGN
,,TOMM6
,,CELSR1
,,BAI3
,,MMP11
,,KIAA0930
,,C11orf87
,,CDK5R1
,,GTF3C1
,,GNA12
,,KHDRBS2
,,DDX55
,,GCOM1
,,MYZAP
,,CYP21A1P
,,ZNF396
,,CPLX1
,,DBN1
,,CCDC83
,,CCNYL1
,,CRYM
,,ART5
,,NUGGC
,,TDRD1
,,FBXO42
,,ENTPD4
,,EZH2
,,CCDC126
,,PPM1N
,,PRR14
,,OGFOD2
,,IGBP1P1
,,DPY19L1
,,KRT85
,,POLA1
,,RPP38
,,FCAMR
,,C20orf196
,,SMPD1
,,C17orf85
,,FAM83G
,,AGTPBP1
,,GAL3ST4
,,ERLIN2
,,C1orf35
,,ONECUT2
,,G6PC
,,LRG_147
,,TGFBR1
,,RBX1
,,MIR4745
,,BRD1
,,PEX10
,,LY9
,,EIF2D
,,SAMM50
,,SLK
,,EIF4E
,,COX17
,,MED10
,,DECR2
,,C2orf48
,,GRIN2A
,,LRRC41
,,EXD3
,,TXNRD1
,,HAS3
,,NPB
,,FDFT1
,,LRRFIP2
,,IVD
,,MET
,,COL13A1
,,NR1I2
,,ZKSCAN1
,,ZNF767
,,FBXW4P1
,,PLCB3
,,LRR1
,,CHST5
,,CAMK4
,,ZNF496
,,EXOSC6
,,PCM1
,,CCDC112
,,SDCCAG3
,,KRTAP2-3
,,KRTAP2-4
,,HLA-C
,,VASP
,,DBR1
,,ACAT2
,,EFCAB9
,,NRBF2
,,CSK
,,SERP2
,,ABHD15
,,DKC1
,,LRG_55
,,PIK3CD
,,LRG_191
,,CADM1
,,ITLN2
,,SPHK1
,,DKFZP761J1410
,,SLC47A1
,,LARGE-AS1
,,RAB8B
,,TEDDM1
,,HSPB6
,,PRTG
,,BMP2K
,,DLEU7
,,RGL2
,,MTOR
,,CDK8
,,KRTAP4-2
,,LINC00482
,,CCDC117
,,WWC2-AS2
,,AGO3
,,TRIM58
,,WFS1
,,IDH1
,,ABCB10
,,PLCD3
,,KCNH2
,,LRG_288
,,TMEM59
,,ALS2CR12
,,NDFIP1
,,MSRB2
,,LRRC19
,,PRR23B
,,GALNT10
,,SGSM3
,,AMT
,,SMARCD2
,,SMAD4
,,LRG_318
,,IL1RAP
,,OXTR
,,MIDN
,,CASC15
,,FZD10-AS1
,,TIPIN
,,GNA11
,,TMEM170B
,,PRR24
,,DHX34
,,ZNF8
,,ERVK3-1
,,GMPS
,,FBN1
,,BCAT1
,,RFNG
,,SEMA6D
,,NUMA1
,,WIPI1
,,RNF14
,,TFG
,,STARD13
,,MAPK9
,,JH8
,,GAR1
,,GFI1B
,,ERVV-2
,,ENPP4
,,CASZ1
,,SCO1
,,SPIC
,,PGAM1
,,PFN4
,,ECSIT
,,LBX2-AS1
,,RAB11FIP4
,,HERC2P9
,,RP11-578F21.1
,,SLC39A4
,,SOX11
,,MIR1203
,,HRAS
,,LIN54
,,CDKN1C
,,C7orf25
,,EMC9
,,IFFO2
,,CNNM2
,,HSPD1
,,PTGDS
,,MIR4308
,,NOS2
,,POLA2
,,ATP8A1
,,TRIP10
,,SPTBN1
,,TET3
,,IFT46
,,AANAT
,,YTHDF3-AS1
,,ST3GAL2
,,NMNAT2
,,MS4A8
,,FAM151A
,,CAMSAP1
,,OPA1
,,LRG_337
,,FAM89A
,,PTGER1
,,GUF1
,,RABL6
,,MAP4K4
,,SULT2B1
,,MGAM
,,SMKR1
,,RP11-875O11.2
,,RNF11
,,ITM2C
,,TFAP4
,,TXNRD2
,,LRG_417
,,ZNF683
,,NEIL1
,,ZBTB7B
,,FAM110A
,,MLLT1
,,FZD2
,,C22orf15
,,DNAJC5
,,DUT
,,CLDN6
,,PAFAH1B1
,,GPS2
,,RP11-542C16.2
,,MLK7-AS1
,,PRKAB1
,,STMND1
,,CTC-308K20.1
,,CD276
,,TBC1D29
,,MICU3
,,HM13
,,UBE2G1
,,AGAP5
,,CEP85
,,C1orf74
,,OSCAR
,,CHST2
,,PPP2R5D
,,ERP29
,,FBXO10
,,GNGT1
,,SLC17A2
,,ZNF275
,,RPH3AL
,,TTC38
,,ARL10
,,DTWD2
,,MAMDC4
,,RAB3A
,,CA11
,,DBNL
,,PCDH7
,,LAT
,,PDCD6
,,DDN
,,ADNP
,,APOBR
,,CACFD1
,,GALNT14
,,PDE4DIP
,,FBXO24
,,MSTO1
,,LINC00324
,,KCTD1
,,CFD
,,LRG_46
,,ST8SIA6
,,PTPN18
,,C1orf229
,,C17orf58
,,DPM2
,,MIR455
,,RAB15
,,CACNG3
,,ARCN1
,,IL34
,,GATA6-AS1
,,TGFB1I1
,,RP1-90J20.12
,,TOR2A
,,MIR5700
,,LMO4
,,UBE2C
,,FAM220A
