"Gene Name"	"Array data file names"	"Composite Element Ref"	"Antibody.validation.status"	"Antibody.Origin"	"Antibody.Source..Company."	"Catalog.Number"	"Protein.function.and.regulatory.pathways"
"PDCD4"	"PDCD4-R-C_GBL9029854.txt"	"PDCD4-R-C"	"Use with Caution"	"Rabbit"	"Rockland"	"600-401-965"	"Pdcd4 directly inhibits the helicase activity of eukaryotic translation initiation factor 4A (eIF4A), a component of the translation initiation complex. Pdcd4 also suppresses the transactivation of activator protein-1 (AP-1)-responsive promoters by c-Jun. Pdcd4 contains two Akt phosphorylation sites, one at Ser67 and the other at Ser457. The phosphorylation of Pdcd4 by Akt causes nuclear translocation of Pdcd4 and a significant decrease in the ability of Pdcd4 to interfere with the transactivation of AP-1-responsive promoters by c-Jun."
"PDK1"	"PDK1-R-V_GBL9029855.txt"	"PDK1-R-V"	"Validated"	"Rabbit"	"CST"	"3062"	"Phosphoinositide-dependent protein kinase 1, involved in PI3K/AKT and PKC signaling"
"PDK1"	"PDK1_pS241-R-V_GBL9029856.txt"	"PDK1_pS241-R-V"	"Validated"	"Rabbit"	"CST"	"3061"	"Phosphoinositide-dependent protein kinase 1, involved in PI3K/AKT and PKC signaling"
"PEA15"	"PEA15-R-V_GBL9029857.txt"	"PEA15-R-V"	"Validated"	"Rabbit"	"CST"	"2780"	"Coordinate cell growth, death, and glucose utilization. Involved in MAPK  signaling"
"PEA15"	"PEA15_pS116-R-V_GBL9029858.txt"	"PEA15_pS116-R-V"	"Validated"	"Rabbit"	"Invitrogen"	"44-836G"	"Implicated in the regulation of multiple cellular processes including apoptosis, integrin activation, and insulin-sensitive glucose transport in insulin-responsive cells. Its activation mediated through binding to multiple proteins, including ERK1&2, RSK2, Akt, FADD, and Caspase-8."
"PIK3CA "	"PI3K-p110-alpha-R-C_GBL9029859.txt"	"PI3K-p110-alpha-R-C"	"Use with Caution"	"Rabbit"	"CST"	"4255"	"One of the of the catalytic subunit of PI3K"
"PIK3R1 PIK3R2"	"PI3K-p85-R-V_GBL9029860.txt"	"PI3K-p85-R-V"	"Validated"	"Rabbit"	"Upstate (Millipore)"	"06-195"	"PI3K p85 regulatory subunit"
"PRKCA "	"PKC-alpha-M-V_GBL9029941.txt"	"PKC-alpha-M-V"	"Validated"	"Mouse"	"Upstate (Millipore)"	"05-154"	"PKC alpha is an ubiquitously expressed PKC isozyme that has been implicated in the regulation of a broad range of cellular functions "
"PRKCA "	"PKC-alpha_pS657-R-C_GBL9029861.txt"	"PKC-alpha_pS657-R-C"	"Use with Caution"	"Rabbit"	"Upstate (Millipore)"	"06-822"	"PKC alpha is an ubiquitously expressed PKC isozyme that has been implicated in the regulation of a broad range of cellular functions "
"PRKCD"	"PKC-delta_pS664-R-V_GBL9029862.txt"	"PKC-delta_pS664-R-V"	"Validated"	"Rabbit"	"Millipore"	"07-875"	"PKC is activated by diacylglycerol which in turn phosphorylates a range of cellular proteins. PKC also serves as the receptor for phorbol esters, a class of tumor promoters."
"PRKCB"	"PKC-pan_BetaII_pS660-R-V_GBL9029863.txt"	"PKC-pan_BetaII_pS660-R-V"	"Validated"	"Rabbit"	"CST"	"9371"	"Activation of protein kinase C (PKC) is one of the earliest events in a cascade that controls a variety of cellular responses, including secretion, gene expression, proliferation, and muscle contraction"
"PGR"	"PR-R-V_GBL9029864.txt"	"PR-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1483-1"	"Progesterone receptor, Transcription Factor"
"AKT1S1"	"PRAS40_pT246-R-V_GBL9029865.txt"	"PRAS40_pT246-R-V"	"Validated"	"Rabbit"	"Biosource"	"441100G"	"PRAS40 is a 14-3-3 binding protein that reacts with insulin. PRAS40 is phosphorylated by AKT"
"PRDX1"	"PRDX1-R-E_GBL9030006.txt"	"PRDX1-R-E"	"Under Evaluation"	"Rabbit"	"Sigma/Atlas"	"HPA007730"	"A member of the peroxiredoxin family of antioxidant enzymes, which reduce hydrogen peroxide and alkyl hydroperoxides. "
"PREX1"	"PREX1-R-E_GBL9027195.txt"	"PREX1-R-E"	"Under Evaluation"	"Rabbit"	"Abcam"	"ab102739"	"Downstream of Heterotrimric G proteins (Guanine nucleotide exchange factor)"
"PTEN"	"PTEN-R-V_GBL9029866.txt"	"PTEN-R-V"	"Validated"	"Rabbit"	"CST"	"9552"	"A lipid and protein phosphatase, a tumor suppressor, Major negative regulator of PI3K/AKT signaling"
"RAB11A RAB11B"	"Rab11-R-E_GBL9029867.txt"	"Rab11-R-E"	"Under Evaluation"	"Rabbit"	"CST"	"3539"	"Rab11 family posseses small Ras-like GTPase activity. Rab11 family includes Rab11a, Rab11b and Rab25 "
"RAB25"	"Rab25-R-V_GBL9029999.txt"	"Rab25-R-V"	"Validated"	"Rabbit"	"CST"	"4314"	"A member of Rab11 family posseses small Ras-like GTPase activity.  Increased Rab25 expression is associated with aggressive growth in ovarian and breast cancer, where Rab25 may inhibit apoptosis and promote cancer cell proliferation and invasion through regulation of vesicle transport and cellular motility."
"RAD50"	"Rad50-M-V_GBL9029942.txt"	"Rad50-M-V"	"Validated"	"Mouse"	"Millipore"	"05-525"	"Involved in DNA double-strand break repair"
"RAD51"	"Rad51-M-E_GBL9029943.txt"	"Rad51-M-E"	"Under Evaluation"	"Mouse"	"Chem Biotech"	"na 71"	"Involved in DNA double-strand break repair"
"RPTOR"	"Raptor-R-V_GBL9029872.txt"	"Raptor-R-V"	"Validated"	"Rabbit"	"CST"	"2280"	"The regulatory associated protein of mTOR (Raptor) was identified as an mTOR binding partner that mediates mTOR signaling to downstream targets. Recently raptor has been identified as a direct substrate of the AMP-activated protein kinase (AMPK). "
"RB1"	"Rb-M-E_GBL9029946.txt"	"Rb-M-E"	"**Used for QC**"	"Mouse"	"CST"	"9309"	"The retinoblastoma tumor suppressor protein Rb regulates cell proliferation by controlling progression through the restriction point within the G1-phase of the cell cycle. Rb has three functionally distinct binding domains and interacts with critical regulatory proteins including the E2F family of transcription factors, c-Abl tyrosine kinase, and proteins with a conserved LXCXE motif (2-4). Cell cycle-dependent phosphorylation by a CDK inhibits Rb target binding and allows cell cycle progression. Rb inactivation and subsequent cell cycle progression likely requires an initial phosphorylation by cyclin D-CDK4/6 followed by cyclin E-CDK2 phosphorylation. Specificity of different CDK/cyclin complexes has been observed in vitro and cyclin D1 is required for Ser780 phosphorylation in vivo."
"RBM15"	"RBM15-R-V_GBL9029967.txt"	"RBM15-R-V"	"Validated"	"Rabbit"	"SDI / Novus"	"21390002"	"RBM15, have repressor function in several signaling pathways"
"RB1"	"Rb_pS807_S811-R-V_GBL9029873.txt"	"Rb_pS807_S811-R-V"	"Validated"	"Rabbit"	"CST"	"9308"	"The retinoblastoma tumor suppressor protein regulates cell proliferation by controlling progression through the restriction point within the G1-phase of the cell cycle"
"RICTOR"	"Rictor-R-C_GBL9029875.txt"	"Rictor-R-C"	"UsewithCaution"	"Rabbit"	"CST"	"2114"	"Rapamycin-insensitive companion of mTOR mediate rictor-mTOR signaling and phosphorylates Akt/PKB on Ser473 required for the full activation of AKT"
"RICTOR"	"Rictor_pT1135-R-V_GBL9029876.txt"	"Rictor_pT1135-R-V"	"Validated"	"Rabbit"	"CST"	"3806"	"Rapamycin-insensitive companion of mTOR mediate rictor-mTOR signaling and phosphorylates Akt/PKB on Ser473 required for the full activation of AKT"
"RPS6"	"S6-R-E_GBL9029994.txt"	"S6-R-E"	"Under Evaluation"	"Rabbit"	"CST"	"2217"	"Down stream of PI3K/AKT/mTOR/p70 S6 kinase, Involved in growth factors and mitogens induced protein translation"
"RPS6"	"S6_pS235_S236-R-V_GBL9029877.txt"	"S6_pS235_S236-R-V"	"Validated"	"Rabbit"	"CST"	"2211"	"Down stream of PI3K/AKT/mTOR/p70 S6 kinase, Involved in growth factors and mitogens induced protein translation"
"RPS6"	"S6_pS240_S244-R-V_GBL9029878.txt"	"S6_pS240_S244-R-V"	"Validated"	"Rabbit"	"CST"	"2215"	"Down stream of PI3K/AKT/mTOR/p70 S6 kinase, Involved in growth factors and mitogens induced protein translation"
"SCD"	"SCD-M-V_GBL9029947.txt"	"SCD-M-V"	"Validated"	"Mouse"	"Santa Cruz"	"sc-58420"	"Stearoyl-CoA desaturase (SCD) is a microsomal enzyme required for the synthesis of oleate and palmitoleate, which are the major monounsaturated fatty acids of membrane phospholipids, triglycerides and cholesterol esters."
"SETD2"	"SETD2-R-E_GBL9029879.txt"	"SETD2-R-E"	"**Used for QC**"	"Rabbit"	"Abcam"	"ab69836"	"SETD2 is a Histone methyltransferase that methylates 'Lys-36' of histone H3. H3 'Lys-36' methylation represents a specific tag for epigenetic transcriptional activation. Probably plays a role in chromatin structure modulation during elongation via its interaction with hyperphosphorylated POLR2A. Binds DNA at promoters. May also act as a transcription activator that binds to promoters. Binds to the promoters of adenovirus 12 E1A gene in case of infection, possibly leading to regulate its expression."
"SRSF1"	"SF2-M-V_GBL9029948.txt"	"SF2-M-V"	"Validated"	"Mouse"	"Invitrogen"	"32-4500"	"The SF proteins are essential splicing factors and also regulate alternative splicing of many pre-mRNAs."
"SHC1"	"Shc_pY317-R-V_GBL9029983.txt"	"Shc_pY317-R-V"	"Validated"	"Rabbit"	"CST"	"2431"	"Serves as a scaffold protein in signaling for a variety of receptor tyrosine kinases"
"PTPN11"	"SHP-2_pY542-R-C_GBL9030034.txt"	"SHP-2_pY542-R-C"	""	""	""	""	""
"SLC1A5"	"SLC1A5-R-C_GBL9030017.txt"	"SLC1A5-R-C"	""	""	""	""	""
"DIABLO"	"Smac-M-E_GBL9029949.txt"	"Smac-M-E"	"**Used for QC**"	"Mouse"	"CST"	"2954"	"Smac/Diablo is a 21 kDa mammalian mitochondrial protein that functions as a regulatory component during apoptosis. Upon mitochondrial stress, Smac/Diablo is released from mitochondria and competes with caspases for binding of IAPs (inhibitor of apoptosis proteins). The interaction of Smac/Diablo with IAPs relieves the inhibitory effect of the IAPs on caspases. This interaction involves mainly the amino-terminal residues of Smac/Diablo with the BIR3 region of XIAP, supplemented with several other hydrophobic interactions between the helical structures of Smac/Diablo and other areas of BIR3."
"SMAD1"	"Smad1-R-V_GBL9029968.txt"	"Smad1-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1649-1"	"Mediates TGF beta signaling"
"SMAD3"	"Smad3-R-V_GBL9029881.txt"	"Smad3-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1735-1"	"Mediates TGF beta signaling"
"SMAD4"	"Smad4-M-V_GBL9029950.txt"	"Smad4-M-V"	"Validated"	"Mouse"	"Santa Cruz"	"sc-7966"	"Mediates TGF beta signaling"
"SNAI1"	"Snail-M-E_GBL9029951.txt"	"Snail-M-E"	"**Used for QC**"	"Mouse"	"CST"	"3895"	"Snail is a zinc-finger transcription factor that can repress E-cadherin transcription. Downregulation of E-cadherin is associated with epithelial-mesenchymal transition during embryonic development, a process also exploited by invasive cancer cells. Indeed, loss of E-cadherin expression is correlated with the invasive properties of some tumors and there is a considerable inverse correlation between Snail and E-cadherin mRNA levels in epithelial tumor cell lines. In addition, Snail blocks the cell cycle and confers resistance to cell death. Phosphorylation of Snail by GSK-3 and PAK1 regulates its stability, cellular localization and function."
"SRC"	"Src-M-V_GBL9029952.txt"	"Src-M-V"	"Validated"	"Mouse"	"Upstate (Millipore)"	"05-184"	"A member of Src family of protein tyrosine kinases"
"SRC"	"Src_pY416-R-C_GBL9029902.txt"	"Src_pY416-R-C"	"Use with Caution"	"Rabbit"	"CST"	"2101"	"A member of Src family of protein tyrosine kinases"
"SRC"	"Src_pY527-R-V_GBL9029903.txt"	"Src_pY527-R-V"	"Validated"	"Rabbit"	"CST"	"2105"	"A member of Src family of protein tyrosine kinases"
"STAT3"	"STAT3_pY705-R-V_GBL9029904.txt"	"STAT3_pY705-R-V"	"Validated"	"Rabbit"	"CST"	"9131"	"Signal transducer and activator of transcription 3 functions both in signal transduction and activation of transcription"
"STAT5A"	"STAT5-alpha-R-V_GBL9029905.txt"	"STAT5-alpha-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1289-1"	"Signal transducer and activator of transcription 5 functions both in signal transduction and activation of transcription"
"STMN1"	"Stathmin-R-V_GBL9029906.txt"	"Stathmin-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1972-1"	"Ubiquitous cytosolic phosphoprotein"
"SYK"	"Syk-M-V_GBL9029953.txt"	"Syk-M-V"	"Validated"	"Mouse"	"Santa Cruz"	"sc-1240"	"One of several members of the protein kinase superfamily involved in PI3K and PLC signaling"
"WWTR1"	"TAZ-R-V_GBL9029907.txt"	"TAZ-R-V"	"Validated"	"Rabbit"	"CST"	"2149"	"Transcriptional co-activator"
"TFRC"	"TFRC-R-V_GBL9029909.txt"	"TFRC-R-V"	"Validated"	"Rabbit"	"SDI / Novus"	"22500002"	"Transferrin Receptor"
"TIGAR"	"TIGAR-R-V_GBL9029908.txt"	"TIGAR-R-V"	"Under Evaluation"	"Rabbit"	"Epitomics"	"S1711"	"Regulates p53 tumor suppresor pathway and glycolysis"
"TGM2"	"Transglutaminase-M-V_GBL9029954.txt"	"Transglutaminase-M-V"	"Validated"	"Mouse"	"Lab Vision"	"MS-224"	"Transglutaminases catalyze the posttranslational modification of proteins by transamidation of available glutamine residues. Reported to facilitate breast cancer metastasis."
"TSC1"	"TSC1-R-C_GBL9029910.txt"	"TSC1-R-C"	"Use with Caution"	"Rabbit"	"CST"	"4906"	"The tumor suppressor genes TSC1 encode hamartin functions as a GTPase-activating protein for the Ras-related small G protein Rheb and thus inhibits targets of rapamycin including mTOR to regulate G1 phase of the cell cycle, steroid hormone regulation, Rho activation and anchoring neuronal intermediate filaments to the actin cytoskeleton. "
"TSC2"	"Tuberin-R-E_GBL9029912.txt"	"Tuberin-R-E"	"Validated"	"Rabbit"	"Epitomics"	"1613-1"	"Tuberous sclerosis complex-2 (TSC2 also known as Tuberin) is a tumor suppressor that forms a complex with TSC1 (Hamartin ) and this complex is known to control various cellular functions including cell cycle, endocytosis, adhesion, and transcription. Involved in AKT/mTOR signaling. "
"TSC2"	"Tuberin_pT1462-R-V_GBL9029913.txt"	"Tuberin_pT1462-R-V"	"Validated"	"Rabbit"	"CST"	"3617"	"Tuberin is a product of the TSC2 tumor suppressor gene and an important regulator of cell proliferation and tumor development. Involved in AKT/mTOR signaling. "
"KDR"	"VEGFR2-R-V_GBL9029914.txt"	"VEGFR2-R-V"	"Validated"	"Rabbit"	"CST"	"2479"	"A major receptor for VEGF-induced signaling in endothelial cells"
"XBP1"	"XBP1-G-C_GBL9029997.txt"	"XBP1-G-C"	"Use with Caution"	"Goat"	"Santa Cruz"	"sc-32136"	"The X-box binding protein-1 plays a role in regulation of expression of osteoblast-specific genes."
"XRCC1"	"XRCC1-R-E_GBL9029915.txt"	"XRCC1-R-E"	"Under Evaluation"	"Rabbit"	"CST"	"2735"	"A DNA repair protein important in both single strand break repair and base excision repair following damage from ionizing radiation and alkylating agents"
"YAP1"	"YAP-R-E_GBL9029916.txt"	"YAP-R-E"	"Under Evaluation"	"Rabbit"	"Santa Cruz"	"sc-15407"	"Involved in Src, AKT and MAPK signaling"
"YAP1"	"YAP_pS127-R-E_GBL9029917.txt"	"YAP_pS127-R-E"	"Under Evaluation"	"Rabbit"	"CST"	"4911"	"Involved in Src, AKT and MAPK signaling"
"YBX1"	"YB-1-R-V_GBL9029969.txt"	"YB-1-R-V"	"Validated"	"Rabbit"	"SDI"	"1725.00.02"	"Belongs to a family of evolutionarily conserved, multifunctional Y-box proteins that bind to DNA and RNA,  function as regulators of transcription, RNA metabolism, and protein synthesis"
"YBX1"	"YB-1_pS102-R-V_GBL9029919.txt"	"YB-1_pS102-R-V"	"Validated"	"Rabbit"	"CST"	"2900"	"Belongs to a family of evolutionarily conserved, multifunctional Y-box proteins that bind to DNA and RNA,  function as regulators of transcription, RNA metabolism, and protein synthesis"
"YWHAB"	"14-3-3_beta-R-V_GBL11066140.txt"	"14-3-3_beta-R-V"	"Validated"	"Rabbit"	"Santa Cruz"	"sc-628"	"14-3-3 proteins regulate many cellular processes relevant to cancer biology, notably apoptosis, mitogenic signaling and cell-cycle checkpoints"
"YWHAE"	"14-3-3_epsilon-M-C_GBL11066233.txt"	"14-3-3_epsilon-M-C"	"Use with Caution"	"Mouse"	"Santa Cruz"	"sc-23957"	"14-3-3 proteins regulate many cellular processes relevant to cancer biology, notably apoptosis, mitogenic signaling and cell-cycle checkpoints"
"YWHAZ"	"14-3-3_zeta-R-V_GBL11066141.txt"	"14-3-3_zeta-R-V"	"Validated"	"Rabbit"	"Santa Cruz"	"sc-1019"	"14-3-3 proteins regulate many cellular processes relevant to cancer biology, notably apoptosis, mitogenic signaling and cell-cycle checkpoints"
"EIF4EBP1"	"4E-BP1-R-V_GBL11066045.txt"	"4E-BP1-R-V"	"Validated"	"Rabbit"	"CST"	"9452"	"Involves in protein translation. Regulated by PI3K/AKT/mTOR pathway"
"EIF4EBP1"	"4E-BP1_pS65-R-V_GBL11066046.txt"	"4E-BP1_pS65-R-V"	"Validated"	"Rabbit"	"CST"	"9456"	"Involves in protein translation. Regulated by PI3K/AKT/mTOR pathway"
"EIF4EBP1"	"4E-BP1_pT37_T46-R-V_GBL11066047.txt"	"4E-BP1_pT37_T46-R-V"	"Validated"	"Rabbit"	"CST"	"9459"	"Involves in protein translation. Regulated by PI3K/AKT/mTOR pathway"
"EIF4EBP1"	"4E-BP1_pT70-R-V_GBL11066048.txt"	"4E-BP1_pT70-R-V"	"Use with Caution"	"Rabbit"	"CST"	"9455"	"Involved in protein translation, Regulated my PI3K/AKT/mTOR pathway"
"TP53BP1"	"53BP1-R-E_GBL11066155.txt"	"53BP1-R-E"	"Under Evaluation"	"Rabbit"	"CST"	"4937"	"Identified as a p53 binding partner that could enhance the transcriptional activity of p53., Also involves in DNA repair signaling"
"ACACA"	"ACC1-R-E_GBL11066050.txt"	"ACC1-R-E"	"Under Evaluation"	"Rabbit"	"Epitomics"	"1768-1"	"Key enzyme in the biosynthesis and oxidation of fatty acids. Involved in energy homeostasis regulation"
"ACACA ACACB"	"ACC_pS79-R-V_GBL11066049.txt"	"ACC_pS79-R-V"	"Validated"	"Rabbit"	"CST"	"3661"	"Key enzyme in the biosynthesis and oxidation of fatty acids. Involved in energy homeostasis regulation"
"TUBA1B"	"Acetyl-a-Tubulin-Lys40-R-C_GBL11066205.txt"	"Acetyl-a-Tubulin-Lys40-R-C"	"Under Evaluation"	"Rabbit"	"CST"	"5335"	"The cytoskeleton consists of three types of cytosolic fibers: microtubules, microfilaments (actin filaments), and intermediate filaments. Acetylation of _-tubulin at Lys40 is required for dynamic cell shape remodeling, cell motility, tubulin stability and terminal branching of cortical neurons"
"ACVRL1"	"ACVRL1-R-C_GBL11066174.txt"	"ACVRL1-R-C"	"Use with Caution"	"Rabbit"	"Epitomics"	"2940-1"	"TNF beta superfamily"
"ADAR"	"ADAR1-M-V_GBL11066236.txt"	"ADAR1-M-V"	"Validated"	"Mouse"	"Abcam"	"ab88574"	"Converts multiple adenosines to inosines and creates I/U mismatched base pairs in double-helical RNA substrates without apparent sequence specificity. It plays a role in RNA editing."
"AKT1 AKT2 AKT3"	"Akt-R-V_GBL11066173.txt"	"Akt-R-V"	"Validated"	"Rabbit"	"CST"	"9272"	"PI3K/AKT/mTOR pathway"
"AKT1 AKT2 AKT3"	"Akt_pS473-R-V_GBL11066075.txt"	"Akt_pS473-R-V"	"Validated"	"Rabbit"	"CST"	"9271"	"PI3K/AKT/mTOR pathway"
"AKT1 AKT2 AKT3"	"Akt_pT308-R-V_GBL11066202.txt"	"Akt_pT308-R-V"	"Validated"	"Rabbit"	"CST"	"9275"	"PI3K/AKT/mTOR pathway"
"CTNNA1"	"alpha-Catenin-M-V_GBL11066255.txt"	"alpha-Catenin-M-V"	"Validated"	"Mouse"	"Calbiochem"	"CA1030"	"Discontinued"
"PRKAA1"	"AMPK_alpha-R-C_GBL11066051.txt"	"AMPK_alpha-R-C"	"Use with Caution"	"Rabbit"	"CST"	"2532"	"Involved in energy homeostasis regulation"
"PRKAA1"	"AMPK_pT172-R-V_GBL11066052.txt"	"AMPK_pT172-R-V"	"Validated"	"Rabbit"	"CST"	"2535"	"Involved in energy homeostasis regulation"
"ANXA1"	"Annexin-1-M-E_GBL11066239.txt"	"Annexin-1-M-E"	"Under Evaluation"	"Mouse"	"BD Transduction"	"610066"	"Apoptosis"
"ANXA7"	"Annexin_VII-M-V_GBL11066265.txt"	"Annexin_VII-M-V"	"Validated"	"Mouse"	"BD Biosciences"	"610668"	"Apoptosis"
"AR"	"AR-R-V_GBL11066124.txt"	"AR-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1852-1"	"Androgen receptor (AR). Transcription Factor"
"ARAF"	"A-Raf-R-V_GBL11066298.txt"	"A-Raf-R-V"	""	""	""	""	""
"ARAF"	"A-Raf_pS299-R-C_GBL11066162.txt"	"A-Raf_pS299-R-C"	"Use with Caution"	"Rabbit"	"CST"	"4431"	"One of the main effectors recruited by GTP-bound Ras to activate the MEK-MAP kinase pathway "
"ARID1A"	"ARID1A-R-C_GBL11066292.txt"	"ARID1A-R-C"	"Validated"	"Mouse"	"Abgent"	"AT1188a"	"Involves in PI3K/PTEN signaling"
"ASNS"	"ASNS-R-V_GBL11066243.txt"	"ASNS-R-V"	"Validated"	"Rabbit"	"Sigma"	"HPA029318"	"The protein encoded by ASNS gene is involved in the synthesis of asparagine. "
"ATM"	"ATM-R-E_GBL11066053.txt"	"ATM-R-E"	"Under Evaluation"	"Rabbit"	"Abcam"	"ab32420"	"Serine/threonine protein kinase which activates checkpoint signaling upon double strand breaks (DSBs), apoptosis and genotoxic stresses such as ionizing ultraviolet A light (UVA), thereby acting as a DNA damage sensor. "
"BAD"	"Bad_pS112-R-V_GBL11066054.txt"	"Bad_pS112-R-V"	"Validated"	"Rabbit"	"CST"	"9291"	"Bcl-2 interacting mediator of cell death, pro-apoptotic protein "
"BAK1"	"Bak-R-E_GBL11066055.txt"	"Bak-R-E"	"Under Evaluation"	"Rabbit"	"Epitomics"	"1542-1"	"Bcl-2 interacting mediator of cell death, pro-apoptotic protein "
"BAP1"	"Bap1-c-4-M-E_GBL11066238.txt"	"Bap1-c-4-M-E"	"Ender Evaluation"	"Rabbit"	"Alomine"	"APC-125"	"BAP1 is a tumor suppressor that requires deubiquitinating activity and nuclear localization"
"BAX"	"Bax-R-V_GBL11066056.txt"	"Bax-R-V"	"Validated"	"Rabbit"	"CST"	"2772"	"Bcl-2 interacting mediator of cell death, pro-apoptotic protein "
"BCL2"	"Bcl-2-M-V_GBL11066211.txt"	"Bcl-2-M-V"	"Validated"	"Mouse"	"Dako"	"Dako M0887"	"Anti-apoptotic protein, Oncoprotein"
"BCL2A1"	"Bcl2A1-R-V_GBL11066294.txt"	"Bcl2A1-R-V"	""	""	""	""	""
"BCL2L1"	"Bcl-xL-R-V_GBL11066058.txt"	"Bcl-xL-R-V"	"Validated"	"Rabbit"	"CST"	"2762"	"Bcl-2 interacting mediator of cell death, anti-apoptotic protein "
"BECN1"	"Beclin-G-C_GBL11066241.txt"	"Beclin-G-C"	"Use with Caution"	"Goat"	"Santa Cruz"	"sc-10086"	"BECN1 (Beclin 1) is a coiled-coil protein that has been implicated as an inhibitor of tumorigenesis. BECN1, which associates with Bcl-2, plays a significant role in autophagy."
"CTNNB1"	"beta-Catenin-R-V_GBL11066057.txt"	"beta-Catenin-R-V"	"Validated"	"Rabbit"	"CST"	"9562"	"Downstream effector in the Wnt signaling pathway"
"BID"	"Bid-R-C_GBL11066059.txt"	"Bid-R-C"	"Use with Caution"	"Rabbit"	"Epitomics"	"1008-1"	"Bcl-2 interacting mediator of cell death, pro-apoptotic protein belonging to the BH3-interaction protein"
"BCL2L11"	"Bim-R-V_GBL11066060.txt"	"Bim-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1036-1"	"Bcl-2 interacting mediator of cell death, pro-apoptotic protein belonging to the BH3-interaction protein"
"BRAF"	"B-Raf-M-C_GBL11066212.txt"	"B-Raf-M-C"	"Use with Caution"	"Mouse"	"Santa Cruz"	"sc-5284"	"One of the main effectors recruited by GTP-bound Ras to activate the MEK-MAP kinase pathway "
"BRAF"	"B-Raf_pS445-R-V_GBL11066290.txt"	"B-Raf_pS445-R-V"	""	""	""	""	""
"BRCA2"	"BRCA2-R-C_GBL11066126.txt"	"BRCA2-R-C"	"Use with Caution"	"Rabbit"	"CST"	"9012"	"The breast cancer susceptibility protein BRCA2 has roles in multiple processes related to DNA damage, repair, cell cycle progression, transcription, ubiquitination, and apoptosis"
"BRD4"	"BRD4-R-V_GBL11066300.txt"	"BRD4-R-V"	""	""	""	""	""
"ABL1"	"c-Abl-R-V_GBL11066303.txt"	"c-Abl-R-V"	""	""	""	""	""
"CASP3"	"Caspase-3-R-E_GBL11066276.txt"	"Caspase-3-R-E"	"Use with Caution"	"Rabbit"	"Abcam"	"ab32042"	"Involved in the activation cascade of caspases responsible for apoptosis execution."
"CASP7"	"Caspase-7_cleavedD198-R-C_GBL11066061.txt"	"Caspase-7_cleavedD198-R-C"	"Use with Caution"	"Rabbit"	"CST"	"9491"	"A major contributor to the execution of apoptosis"
"CASP8"	"Caspase-8-M-E_GBL11066257.txt"	"Caspase-8-M-E"	"**Used for QC**"	"Mouse"	"CST"	"9746"	"Apoptosis induced through the CD95 receptor (Fas/APO-1) and tumor necrosis factor receptor 1 (TNFR1) activates caspase-8 and leads to the release of the caspase-8 active fragments, p18 and p10. Activated caspase-8 cleaves and activates downstream effector caspases such as caspase-1, -3, -6, and -7. Caspase-3 ultimately elicits the morphological hallmarks of apoptosis, including DNA fragmentation and cell shrinkage."
"CASP9"	"Caspase-9-R-E_GBL11066277.txt"	"Caspase-9-R-E"	"Use with Caution"	"Rabbit"	"CST"	"9501"	"Cleaves and activates sterol regulatory element binding proteins (SREBPs) between the basic helix-loop-helix leucine zipper domain and the membrane attachment domain. Cleaves and activates caspase-6, -7 and -9. Involved in the cleavage of huntingtin. Triggers cell adhesion in sympathetic neurons through RET cleavage."
"CAV1"	"Caveolin-1-R-V_GBL11066062.txt"	"Caveolin-1-R-V"	"Validated"	"Rabbit"	"CST"	"3238"	"One of the principal structural components of the cholesterol/sphingolipid-enriched plasma membrane microdomain caveolae. Interact with multiple signaling molecules such as G_ subunit, tyrosine kinase receptors, PKCs, Src family tyrosine kinases, and eNOS"
"MS4A1"	"CD20-R-C_GBL11066063.txt"	"CD20-R-C"	"Use with Caution"	"Rabbit"	"Epitomics"	"1632"	"Human B lymphocyte surfacr marker"
"DPP4"	"CD26-R-V_GBL11066296.txt"	"CD26-R-V"	""	""	""	""	""
"PECAM1"	"CD31-M-V_GBL11066250.txt"	"CD31-M-V"	"Validated"	"Mouse"	"Dako"	"M0823"	"Endothelia cell marker"
"ITGA2"	"CD49b-M-V_GBL11066252.txt"	"CD49b-M-V"	"Validated"	"Mouse"	"BD"	"611016"	"Integrin"
"CDK1"	"CDK1-R-V_GBL11066247.txt"	"CDK1-R-V"	"Validated"	"Rabbit"	"CST"	"9112"	"Involved in the regulation of the entry of eukaryotic cells into mitosis"
"CDK1"	"CDK1_pY15-R-C_GBL11066306.txt"	"CDK1_pY15-R-C"	""	""	""	""	""
"CHEK1"	"Chk1-M-C_GBL11066237.txt"	"Chk1-M-C"	"Under Evaluation"	"Rabbit"	"CST"	"2345"	"Kinase acts downstream of ATM/ATR involving in DNA damage checkpoint control, embryonic development, and tumor suppression"
"CHEK1"	"Chk1_pS296-R-V_GBL11066291.txt"	"Chk1_pS296-R-V"	""	""	""	""	""
